Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Military_ID,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,...23,Start Year,End Year
TPH (Gasolines),Petroleum,Fort Kamehameha USTs: JBPHH,Fort Kamehameha USTs,Urban,1,1930s-1999,Contained,Hālawa,"16,000 µg/L",HDOH EAL: 500 µg/L,Groundwater,Manuwai & Kumumauʻu Canals & Motor Pool Storm Drain,Drains into Manuwai & Kumumauʻu Canals and the Motor Pool Storm Drain to Pearl Harbor mouth.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Not significant, capped with concrete under airstrip.",NA,NA,NA,253,NA,157.9575016°W 21.3172551°N,NA,1930,1999
TPH (Middle Distillates),Petroleum,Fort Kamehameha USTs: JBPHH,Fort Kamehameha USTs,Urban,1,1930s-1999,Contained,Hālawa,"4,200 µg/L",HDOH EAL 640 µg/L,Groundwater,Manuwai & Kumumauʻu Canals & Motor Pool Storm Drain,Drains into Manuwai & Kumumauʻu Canals and the Motor Pool Storm Drain to Pearl Harbor mouth.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Not significant, capped with concrete under airstrip.",NA,NA,NA,254,NA,157.9575016°W 21.3172551°N,NA,1930,1999
TPH (Residual Fuels),Petroleum,Fort Kamehameha USTs: JBPHH,Fort Kamehameha USTs,Urban,1,1930s-1999,Contained,Hālawa,"2,200 µg/L",HDOH EAL: 640 µg/L,Groundwater,Manuwai & Kumumauʻu Canals & Motor Pool Storm Drain,Drains into Manuwai & Kumumauʻu Canals and the Motor Pool Storm Drain to Pearl Harbor mouth.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Not significant, capped with concrete under airstrip.",NA,NA,NA,255,NA,157.9575016°W 21.3172551°N,NA,1930,1999
TPH (Gasolines),Petroleum,HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,1.3 mg/kg,HDOH EAL: 100 mg/kg; C/I: 170 mg/kg,Deep Soil (3+ ft.),Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",location p.41,2018,https://eha-cloud.doh.hawaii.gov/iheer/api/documents/31505/download,256,NA,157.9893002°W 21.3916213°N,NA,1943,1970
TPH (Gasolines),Petroleum,HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,"21,000 µg/L",HDOH EAL: 500 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",NA,NA,"(HART, 2018) EHE, EHMP: Maintenance/Storage Facility (Rail Op Center).pdf",257,NA,157.9893002°W 21.3916213°N,NA,1943,1970
TPH (Middle Distillates),Petroleum,HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,"9,450 µg/L",HDOH EAL 640 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",NA,NA,NA,258,NA,157.9893002°W 21.3916213°N,NA,1943,1970
TPH (Residual Fuels),Petroleum,HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,"1,070 µg/L",HDOH EAL: 640 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",NA,NA,NA,259,NA,157.9893002°W 21.3916213°N,NA,1943,1970
Tetrachloroethane (TCA),Polychlorinated Biphenyls (PCBs),HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,0.7 µg/L,HDOH EAL: .57 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Tetrachloroethane is highly toxic. Acute exposure can cause central nervous system depression, liver and kidney damage, and respiratory issues. Symptoms of exposure include dizziness, headache, nausea, and vomiting. Chronic exposure can lead to more severe health effects, including liver damage and potentially cancer","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",NA,NA,NA,260,NA,157.9893002°W 21.3916213°N,NA,1943,1970
Bromodichloromethane,Legacy Pesticides,HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,7.1 µg/L,HDOH EAL: 0.13 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Bromodichloromethane is moderately toxic. Acute exposure can cause irritation of the eyes, skin, and respiratory system. High levels of exposure may lead to effects on the central nervous system, resulting in  dizziness, headache, and nausea. Prolonged/repeated exposure can damage the liver and kidneys. Classified as a possible human carcinogen","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",NA,NA,NA,261,NA,157.9893002°W 21.3916213°N,NA,1943,1970
Ethylbenzene,Volatile Organic Compounds (VOCs),HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,988 µg/L,HDOH EAL: 7.3 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Acute exposure to ethylbenzene in humans results in respiratory effects, such as throat irritation and chest constriction, irritation of the eyes, and neurological effects such as dizziness.  Chronic (long-term) exposure to ethylbenzene by inhalation in humans has shown conflicting results regarding its effects on the blood.  Animal studies have reported effects on the blood, liver, and kidneys from chronic inhalation exposure to ethylbenzene.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",NA,NA,NA,262,NA,157.9893002°W 21.3916213°N,NA,1943,1970
Napthalene,Polycyclic Aromatic Hydrocarbons (PAHs),HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,907 µg/L,HDOH EAL: 12 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to naphthalene can cause respiratory irritation, hemolytic anemia (especially in individuals with G6PD deficiency), and gastrointestinal distress. Chronic exposure may increase the risk of nasal and lung cancer, and can cause neurological symptoms, skin irritation, and eye damage.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",NA,NA,NA,263,NA,157.9893002°W 21.3916213°N,NA,1943,1970
Xylenes,Volatile Organic Compounds (VOCs),HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,501 µg/L,HDOH EAL: 13 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Short-term exposures at high concentrations can cause irritation of the skin, eyes, nose, and throat; difficulty breathing; delayed response to a visual stimulus; impaired memory; stomach discomfort; and possible changes in the liver and kidneys. Both short- and long-term exposure can cause effects on nervous system: headaches, lack of muscle coordination, dizziness, confusion","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",NA,NA,NA,264,NA,157.9893002°W 21.3916213°N,NA,1943,1970
1-Methylnapthalene,Polycyclic Aromatic Hydrocarbons (PAHs),HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,125 µg/L,HDOH EAL: 2.1 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to methylnaphthalene can lead to respiratory irritation, coughing, and shortness of breath. Prolonged exposure may cause liver and kidney damage, and it is potentially a lung carcinogen. It can also cause skin and eye irritation upon direct contact.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",NA,NA,NA,265,NA,157.9893002°W 21.3916213°N,NA,1943,1970
2-Methylnapthalene,Polycyclic Aromatic Hydrocarbons (PAHs),HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,310 µg/L,HDOH EAL: 4.7 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to methylnaphthalene can lead to respiratory irritation, coughing, and shortness of breath. Prolonged exposure may cause liver and kidney damage, and it is potentially a lung carcinogen. It can also cause skin and eye irritation upon direct contact.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",NA,NA,NA,266,NA,157.9893002°W 21.3916213°N,NA,1943,1970
Anthracene,Polycyclic Aromatic Hydrocarbons (PAHs),HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,0.0824 µg/L,HDOH EAL: 0.02 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to anthracene can cause skin and eye irritation. Inhalation may lead to respiratory irritation, and ingestion can cause gastrointestinal distress. While not classified as a carcinogen, anthracene can be present with other carcinogenic PAHs.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",NA,NA,NA,267,NA,157.9893002°W 21.3916213°N,NA,1943,1970
TPH (Residual Fuels),Petroleum,Servco Pacific Inc.,Underground hydraulic lift & associated small oil tanks and piping,Urban,0,Unknown-2005,Contained,Waipiʻo,"13,000 mg/kg","HDOH EAL: 500; C/I: 1,000 mg/kg",Deep Soil (3+ ft.),Kapakahi Stream,"The contamination is confined primarily to the deep soil, with limited potential to affect the groundwater.","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Low exposure risk, only in deep soil. Soil capped with concrete. Potential for leaching to groundwater",94-729 Farrington Hwy,2005,"(DOH, 2005) Hydraulic Lift closure and release response report. Waipahu Auto.pdf",268,NA,158.0058732°W 21.3832543°N,NA,Unknown,2005
Aldrin,Legacy Pesticides,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Agriculture,0,1970-1995,Historic,Honouliuli,0.1078,Project AL: 0.029 mg/kg,Soil (depth not specified),Honouliuli Stream,Potential for leaching to GW,"Aldrin is highly toxic. Short-term exposure can lead to acute neurological symptoms such as headaches, dizziness, and nausea, while severe cases may cause convulsions and respiratory failure. Long-term exposure is linked to chronic neurological damage, liver toxicity, and an increased risk of liver cancer",NA,NA,NA,NA,269,NA,158.0058732°W 21.3832543°N,NA,1970,1995
Dieldrin,Legacy Pesticides,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Agriculture,0,1970-1995,Historic,Honouliuli,0.3369 mg/kg,Project AL: 0.0052 mg/kg,Soil (depth not specified),Honouliuli Stream,Potential for leaching to GW,"Short-term exposure can cause symptoms such as headaches, dizziness, nausea, and irritability. Long-term exposure can lead to more severe health issues, including liver damage, neurotoxicity (such as seizures and tremors), and immune system suppression. Sttudies have linked exposure to liver and lung cancer",Dieldrin primary concern with surface soil exposure,Location: https://eha-cloud.doh.hawaii.gov/iHEER/#!/site/2456/location,2008,"(Enviroservices, 2008) Former Disposal Pit Soil Sampling Report. Hawaii Ag Research Center, Kunia Substation.pdf",270,NA,158.0354495°W 21.3880816°N,NA,1970,1995
Endrin,Legacy Pesticides,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Agriculture,0,1970-1995,Historic,Honouliuli,7.38 mg/kg,HDOH EAL: 3.8 mg/kg; C/I:,Soil (depth not specified),Honouliuli Stream,Potential for leaching to GW,"Endrin is highly toxic to humans and animals. Acute exposure can cause severe central nervous system effects, including dizziness, headaches, nausea, vomiting, convulsions, and in severe cases, respiratory arrest and death. Chronic exposure can lead to long-term neurological damage, liver and kidney damage, and reproductive toxicity. Possible human carcinogen.",NA,HARC Kunia Substation (ID 270).png,NA,NA,271,NA,158.0354495°W 21.3880816°N,NA,1970,1995
Heptachlor Epoxide,Legacy Pesticides,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Agriculture,0,1970-1995,Historic,Honouliuli,0.1078 mg/kg,Project AL: 0.053 mg/kg,Soil (depth not specified),Honouliuli Stream,Potential for leaching to GW,"Exposure to heptachlor epoxide can cause neurological symptoms such as dizziness, irritability, and convulsions. Long-term exposure has been linked to liver damage, immune system suppression, and an increased risk of liver and adrenal tumors.",NA,NA,NA,NA,272,NA,158.0354495°W 21.3880816°N,NA,1970,1995
Toxaphene,Legacy Pesticides,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Agriculture,0,1970-1995,Historic,Honouliuli,1.3463 mg/kg,Project AL: 0.44 mg/kg,Soil (depth not specified),Honouliuli Stream,Potential for leaching to GW,"Toxaphene is highly toxic. Acute exposure cause respiratory distress, nervous system effects such as tremors and convulsions, and GI symptoms including nausea and vomiting. Chronic exposure can lead to liver and kidney damage, immune system suppression, and potential developmental and reproductive effects. Possible human carcinogen",NA,NA,NA,NA,273,NA,158.0354495°W 21.3880816°N,NA,1970,1995
TPH (Residual Fuels),Petroleum,Waipahu Unocal Service,Excavated Hydraulic oil hoist tanks,Urban,0,1963-2000,Contained,Honouliuli,"1,630 mg/kg","HDOH EAL: 500; C/I: 1,000 mg/kg",Soil (depth not specified),Waikele Stream. West Loch,0.5 mi from nearest surface water body,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Backfilled and covered with concrete, low likelihood of direct exposure, contamination predominantly focused on spread of contamination",Location: https://eha-cloud.doh.hawaii.gov/iHEER/#!/site/2598/location (94-303 Waipahu st) Former COreyʻs Unocal Location (ID 274).png,2000,"Site screening sheet: (HDOH, 2000) TOSCO-Unocal Site screening sheet.pdf , Hoist removal report (MFA, 1999) Subsurface Investigation Report, Aloha Used Auto Parts.pdf",274,NA,158.0206437°W 21.3829946°N,NA,1963,2000
Dioxins/Furans,Dioxins,OSCO: Waipiʻo Peninsula Former Pesticide Mixing Site,Waipiʻo Peninsula Former Pesticide Mixing Site,Agriculture,0,Unknown-1980s,Historic,Waipiʻo,989 pg/g,"HDOH EAL: 240 pg/g; C/I: 1,500 pg/g",Soil (depth not specified),Walker Bay/West Loch,Surface runoff into Walker bay. Potential leach to GW,"Exposure to TEQ dioxins can lead to cancer, reproductive and developmental issues, and immune system damage. Short-term exposure can cause skin lesions and altered liver function, while long-term exposure is linked to endocrine disruption and increased risk of certain cancers. Dioxins are highly persistent in the environment and can accumulate in the food chain, posing long-term health risks",Site trespassers have potential exposure to unpaved surface soil through ingestion and dermal contact. Soils from the Site may be transported off Site due to normal human activities,"Location: p.5 t 21° 21'
44.7"" north latitude and 157 ° 59' 23.7"" west longitude",2001,"(DOH, 2001) Subsurface soil sampling Waipio Peninsula.pdf https://www.environment-hawaii.org/?p=13528 ,(Dawson, 2021) Feds Close In On $7.5M In Compensation For Contamination at Waipiʻo Peninsula.pdf(USEPA, 2005) Removal Action at Oahu Sugar Site Waipio Peninsula.pdf",275,NA,157.9892942°W 21.3629227°N,NA,Unknown,1980
DDT Compounds,Legacy Pesticides,OSCO: Waipiʻo Peninsula Former Pesticide Mixing Site,Waipiʻo Peninsula Former Pesticide Mixing Site,Agriculture,0,Unknown-1980s,Historic,Waipiʻo,2.9 mg/kg,HDOH EAL: 2.2 mg/kg,Soil (depth not specified),Walker Bay/West Loch,Surface runoff into Walker bay. Potential leach to GW,DDT Compounds,Site trespassers have potential exposure to unpaved surface soil through ingestion and dermal contact. Soils from the Site may be transported off Site due to normal human activities,NA,NA,NA,276,NA,157.9892942°W 21.3629227°N,NA,Unknown,1980
DDT Compounds,Legacy Pesticides,OSCO: Waipiʻo Peninsula Former Pesticide Mixing Site,Waipiʻo Peninsula Former Pesticide Mixing Site,Agriculture,0,Unknown-1980s,Historic,Waipiʻo,1.5 mg/kg,HDOH EAL: 1.8 mg/kg; C/I 5.6 mg/kg,Soil (depth not specified),Walker Bay/West Loch,Surface runoff into Walker bay. Potential leach to GW,"DDT exposure has been linked to neurodevelopmental effects, including impaired cognitive function, learning disabilities, and behavioral disorders. In animal studies, prenatal and early-life exposure to DDT has been associated with alterations in brain structure and function. Also reproductive abornamilities",Site trespassers have potential exposure to unpaved surface soil through ingestion and dermal contact. Soils from the Site may be transported off Site due to normal human activities,NA,NA,NA,277,NA,157.9892942°W 21.3629227°N,NA,Unknown,1980
Pentachlorophenol (PCP),Legacy Pesticides,OSCO: Waipiʻo Peninsula Former Pesticide Mixing Site,Waipiʻo Peninsula Former Pesticide Mixing Site,Agriculture,0,Unknown-1980s,Historic,Waipiʻo,81 mg/kg,HDOH EAL: 0.78 mg/kg,Soil (depth not specified),Walker Bay/West Loch,Surface runoff into Walker bay. Potential leach to GW,"Exposure can cause headache, sweating, weakness, trouble breathing, high fever, and pain in the chest and abdomen. Potential human carcinogen.",Site trespassers have potential exposure to unpaved surface soil through ingestion and dermal contact. Soils from the Site may be transported off Site due to normal human activities,NA,NA,NA,278,NA,157.9892942°W 21.3629227°N,NA,Unknown,1980
Arsenic,Metals,ʻEwa Villages Golf Course,"Fumigant Storage Area, ʻEwa Sugar Mill",Agriculture,0,1890-1976,Contained,Honouliuli,54.4 ppm,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Shallow Soil (0-3 ft.),West Loch,Stormwater flows down Renton Rd and into Pacific Ocean,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.","The site has been filled since closing of the sugar mill. The contaminated soil is 1.5 ft bgs and it is assumed that there is no health risk, as long as there is no excavation of the soil",61-650 Kuʻuwelu Pl (should be lot in b/w Kuʻuwelu and Alaiki St),2000,"(CCH, 2011) Ewa Plantation Fumigant Storage area.pdf",281,NA,158.0384919°W 21.3393611°N,NA,1890,1976
Lead,Metals,West Loch Golf Course,Fallowed sugarcane land,Agriculture,0,Unknown,Contained,Honouliuli,"Concentration not specified, lead exceeds EAL",NA,Water,West Loch,Borders West Loch,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","The site is filled, no known human exposures described in document",Location p.25 (although Iʻm sure the googled Golf course location). Exist in zone of 2 fish ponds (Apokeo is the only one mentioned),1988,1988-03-OA-FEIS-WEST-LOCH-GOLF-COURSE-AND-SHORELINE-PARK.pdf,282,Mapped in West Loch Golf Course,158.0296592°W 21.3674316°N,NA,Unknown,Unknown
Arsenic,Metals,Waipiʻo Soccer Complex,"Former Waipahu Incinerator, Landfill",Urban,0,1971-1991,Contained,Waipiʻo,26.1 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Shallow Soil (0-3 ft.),West Loch,To West Loch,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.",Potential risk of exposure assumed upon excavation of soil in the region,"Location: Waipiʻo Point Access Rd, Waipahu, HI 96797 (could just search the park?)",2007,"(DeGelleke, 2007) ABUNDANCE AND DISTRIBUTION OF ARSENIC IN HAWAIIAN SOILS AND SEDIMENTS.pdf",283,Mapped on Waipiʻo Point Access Rd,157.9856568°W 21.3641266°N,NA,1971,1991
2-Butanone (MEK),Volatile Organic Compounds (VOCs),Honouliuli Municipal Wastewater Treatment Plant,Honouliuli Municipal Wastewater Treatment Plant,Urban,0,1978-Current,Ongoing,Honouliuli,10.1 mg/kg,HDOH EAL: 6.2 mg/kg,Soil (depth not specified),West Loch,To non-drinking water aquifer that is above the UIC line,"2-Butanone, also known as methyl ethyl ketone (MEK), is a solvent used in the production of paints, coatings, adhesives, and cleaning agents. Short-term exposurecan cause irritation of the eyes, nose, and throat, as well as symptoms like headache, dizziness, nausea, and central nervous system depression. Long-term exposure may lead to liver and kidney damage. MEK is not classified as a carcinogen.",Soil is not considered for reuse and must be disposed of in a landfill. No direct or immediate threat to human health aside from on-site workers,"Location: 91-1000 Geiger Rd, ʻEwa Beach, HI 96706",2023,"(ESI, 2023) Honouliuli WWTP Stockpile soil sampling for offsite reuse.pdf",284,NA,158.0376789°W 21.3299655°N,NA,1978,2020
Trichloroethylene (TCE),Volatile Organic Compounds (VOCs),Waipahu Sugar Mill,Waipahu Plantation; Former Mill fueling station: Leaking on-site UST,Mixed,0,1897-1995,Contained,Waikele,0.015 mg/L,HDOH EAL (2005): 0.005 mg/L,Groundwater,Groundwater,Report states groundwater is not likely to migrate offsite,"Short-term exposure to TCE can cause dizziness, headaches, and irritation of the eyes, skin, and respiratory system. Long-term exposure increases the risk of liver and kidney damage, immune and nervous system effects, and various cancers, including kidney and liver cancer. TCE is also associated with reproductive and developmental harm.",Drinking water well closed for future use,"On site, located near the bend on Waipahu St (potentially near this hand selected coordinate: 21.385677, -158.008650)",2006,"(HDOH, 2006) Waipahu Sugar Mill Final Response Action Memorandum.pdf",285,NA,158.0084968°W 21.3857284°N,NA,1897,1995
Ethylbenzene,Volatile Organic Compounds (VOCs),Waipahu Sugar Mill,Waipahu Plantation; Former Mill fueling station: Leaking on-site UST,Mixed,0,1897-1995,Contained,Waikele,3.85 mg/kg,HDOH EAL (2005): 3.3 mg/kg,Deep Soil (3+ ft.),Groundwater,"Concentration is detected near the soil-groundwater interface, likely groundwater contamination","Acute exposure to ethylbenzene in humans results in respiratory effects, such as throat irritation and chest constriction, irritation of the eyes, and neurological effects such as dizziness.  Chronic (long-term) exposure to ethylbenzene by inhalation in humans has shown conflicting results regarding its effects on the blood.  Animal studies have reported effects on the blood, liver, and kidneys from chronic inhalation exposure to ethylbenzene.","Airborne exposure is unlikely due to the depth of contamination. As the drinking water well is closed, contamination shouldn't pose an immediate health risk via ingestion or inhalation","On site, located on the upper corner of property boundary (potentially near this hand selected coordinate: 21.387212, -158.008575)",2006,"(HDOH, 2006) Waipahu Sugar Mill Final Response Action Memorandum.pdf",286,NA,158.0084968°W 21.3857284°N,NA,1897,1995
Benzene,Volatile Organic Compounds (VOCs),Waipahu Sugar Mill,Waipahu Plantation; Former Mill fueling station: Leaking on-site UST,Mixed,0,1897-1995,Contained,Waikele,0.02 mg/L,HDOH EAL (2005): 0.005 mg/L,Groundwater,Groundwater,Report states groundwater is not likely to migrate offsite,"Short-term exposure to high levels of benzene can cause dizziness, headaches, drowsiness, and confusion. Long-term exposure primarily affects the bone marrow and leads to blood disorders, including aplastic anemia and an increased risk of leukemia.",Drinking water well closed for future use,"On site, located on the upper corner of property boundary (potentially near this hand selected coordinate: 21.387212, -158.008575)",2006,"(HDOH, 2006) Waipahu Sugar Mill Final Response Action Memorandum.pdf",287,NA,158.0084968°W 21.3857284°N,NA,1897,1995
TPH (Middle Distillates),Petroleum,Waipahu Sugar Mill,Waipahu Plantation; Former Mill fueling station: Leaking on-site UST,Mixed,0,1897-1995,Contained,Waikele,2.9 mg/L,HDOH EAL (2005): 0.1 mg/L,Groundwater,Groundwater,Report states groundwater is not likely to migrate offsite,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Drinking water well closed for future use,"On site, located on the upper corner of property boundary (potentially near this hand selected coordinate: 21.387212, -158.008575)",2006,"(HDOH, 2006) Waipahu Sugar Mill Final Response Action Memorandum.pdf",288,NA,158.0084968°W 21.3857284°N,NA,1897,1995
Arsenic,Metals,Waipahu Sugar Mill,Waipahu Plantation; Former Mill fueling station: Leaking on-site UST,Mixed,0,1897-1995,Contained,Waikele,34.4 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Shallow Soil (0-3 ft.),Groundwater,Report states groundwater is not likely to migrate offsite,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.","There is a low risk of exposure, as soil is buried 2-3 ft deep. Risk of exposure to on-site workers with excavation of soil and future construction","Location: near 
94-131 Malakeke Pl, Waipahu, HI 96797
",2004,"(HDOH, 2004) Waipahu Plantation: Arsenic Request for NFA.pdf",289,NA,158.0074680°W 21.3869466°N,NA,1897,1995
