Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Military_ID,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured ,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,
Lead,Heavy metal,Radford High School (Makalapa Crater),Former Scrap Metal Salvage and Dump Yard ,Urban,1,1930s-1950s,Historic,Moanalua,980 mg/kg,HDOH EAL: 200 mg; C/I: 400 mg/kg,Surface Soil (0-0.5 ft bgs),Hālawa Stream,"Low risk of surface runoff, Halawa stream is some distance away","Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Complete exposure pathway with students, parents, guests, volunteers. ""Ongoing"" contamination, because while some remediation has taken place from DOD, this is an issue that pervades into the news today. https://www.hawaiinewsnow.com/2024/02/08/basically-collapsing-buried-wwii-era-landfill-plagues-high-schools-athletic-complex/",Site map: p. 19,2021,"https://eha-cloud.doh.hawaii.gov/iheer/api/documents/209167/download Note: new soil sampling reprt released on May 7, 2024. Need to request access (USACE, 2024) Supp. Remedial INvesitgation Makalapa Crater Former Navy Salvage Yard.pdf",240,,157.9283128°W 21.3601530°N ,
Arsenic,Heavy metal,Radford High School (Makalapa Crater),Former Scrap Metal Salvage and Dump Yard ,Urban,1,1930s-1950s,Historic,Moanalua,45 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Surface Soil (0-0.5 ft bgs),Hālawa Stream,"Low risk of surface runoff, Halawa stream is some distance away","Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.",,,,,241,,157.9283128°W 21.3601530°N ,
Polychlorinated Biphenyls (PCBs),Chlorinated hydrocarbon,Radford High School (Makalapa Crater),Former Scrap Metal Salvage and Dump Yard ,Urban,1,1930s-1950s,Historic,Moanalua,5.5 mg/kg,HDOH EAL: 0.014 µg/L,Surface soil (0.5-1 ft bgs),Hālawa Stream,"Low risk of surface runoff, Halawa stream is some distance away","Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.",,,,,242,,157.9283128°W 21.3601530°N ,
Barium,Heavy metal,Radford High School (Makalapa Crater),Former Scrap Metal Salvage and Dump Yard ,Urban,1,1930s-1950s,Historic,Moanalua,"1,300 mg/kg","HDOH EAL: 1,000 mg/kg",Surface soil (0.5-1 ft bgs),Hālawa Stream,"Low risk of surface runoff, Halawa stream is some distance away","Exposure to barium can cause various health effects. Short-term exposure to high levels can lead to gastrointestinal issues such as vomiting, diarrhea, and abdominal cramps, as well as muscle weakness and changes in heart rhythm. Long-term exposure may result in kidney damage, hypertension, and neurological effects.Not classified as a carcinogen.",,,,,243,,157.9283128°W 21.3601530°N ,
Mercury,Heavy metal,Radford High School (Makalapa Crater),Former Scrap Metal Salvage and Dump Yard ,Urban,1,1930s-1950s,Historic,Moanalua,46 mg/kg,HDOH EAL: 5.7 mg/kg; C/I; 61 mg/kg,Surface soil (1-2 ft bgs),Hālawa Stream,"Low risk of surface runoff, Halawa stream is some distance away","Mercury can be highly toxic. Short-term exposure at high levels can cause nausea, vomiting, diarrhea, and respiratory distress. Long-term exposure, particularly to methylmercury, can lead to severe neurological and developmental effects, including cognitive deficits, motor dysfunction, and sensory impairments. Chronic exposure to inorganic mercury compounds can cause kidney damage and immune system dysfunction. Especially harmful to pregnant women and young children due to its potential to disrupt fetal and early childhood development.",,,,,244,,157.9283128°W 21.3601530°N ,
DDT Compounds,Organochlorine pesticide,Earhart Village Housing area,Residential Termiticide Use,Mixed,1,1930s-1990,Contained,Moanalua,10 mg/kg,HDOH EAL: 1.8 mg/kg; C/I 5.6 mg/kg,Soil (6-12 in bgs),Māmala Bay (outside of zone of interest),"Flood inundation zone, flows to Māmala bay. Contained with geotextile, and topped with clean soil (limited surface runoff)","DDT exposure has been linked to neurodevelopmental effects, including impaired cognitive function, learning disabilities, and behavioral disorders. In animal studies, prenatal and early-life exposure to DDT Compounds has been associated with alterations in brain structure and function. Also reproductive abornamilities","""These soils do not present an immediate risk to residents, but because the PI soils are within one foot of the ground surface and are not marked by geotextile fabric, the permanent remedy for the soils in these DUs will be further evaluated.:",Location: https://eha-cloud.doh.hawaii.gov/iHEER/#!/site/1063/location,2011,https://eha-cloud.doh.hawaii.gov/iheer/api/documents/124436/download,245,,157.9288774°W 21.3345487°N ,
DDT Compounds,Organochlorine pesticide,Earhart Village Housing area,Residential Termiticide Use,Mixed,1,1930s-1990,Contained,Moanalua,1.1 mg/kg,HDOH EAL: 2.2 mg/kg,Soil (6-12 in bgs),Māmala Bay (outside of zone of interest),"Flood inundation zone, flows to Māmala bay. Contained with geotextile, and topped with clean soil (limited surface runoff)","DDD is a breakdown product of DDT Compounds. Short-term exposure generally does not result in acute symptoms, but long-term exposure has been linked to liver and kidney damage, endocrine disruption, and reproductive issues. Classified as a probable human carcinogen, with evidence suggesting an increased risk of liver cancer.",,Air Force MFH Hickam AFB Earhart I-2 Location (ID 245-249).png,,"(TetraTech, 2011) Remedial Invest. Report Earhart/Onizuka JBPHH.pdf",246,,157.9288774°W 21.3345487°N ,
DDT Compounds,Organochlorine pesticide,Earhart Village Housing area,Residential Termiticide Use,Mixed,1,1930s-1990,Contained,Moanalua,6.6 mg/kg,HDOH EAL: 1.9 mg/kg; C/I 5.6 mg/kg,Soil (6-12 in bgs),Māmala Bay (outside of zone of interest),"Flood inundation zone, flows to Māmala bay. Contained with geotextile, and topped with clean soil (limited surface runoff)","DDE is a breakdown product of DDT Compounds. Short-term exposure typically results in minimal acute symptoms, but long-term exposure potentially causes reproductive and developmental problems, liver damage, and disruption of the endocrine system. There is also evidence that suggests exposure may be associated with breast cancer",,,,,247,,157.9288774°W 21.3345487°N ,
Aldrin,Organochlorine pesticide,Earhart Village Housing area,Residential Termiticide Use,Mixed,1,1930s-1990,Contained,Moanalua,46 mg/kg,HDOH EAL: 3.9 mg/kg; C/I: 8.4 mg/kg,Soil (0-6 in bgs),Māmala Bay (outside of zone of interest),"Flood inundation zone, flows to Māmala bay. Contained with geotextile, and topped with clean soil (limited surface runoff)","Aldrin is highly toxic. Short-term exposure can lead to acute neurological symptoms such as headaches, dizziness, and nausea, while severe cases may cause convulsions and respiratory failure. Long-term exposure is linked to chronic neurological damage, liver toxicity, and an increased risk of liver cancer",,,,,248,,157.9288774°W 21.3345487°N ,
Dieldrin,Organochlorine pesticide,Earhart Village Housing area,Residential Termiticide Use,Mixed,1,1930s-1990,Contained,Moanalua,15 mg/kg,HDOH EAL: 2.5 mg/kg; C/I: 24 mg/kg,Soil (6-12 in bgs),Māmala Bay (outside of zone of interest),"Flood inundation zone, flows to Māmala bay. Contained with geotextile, and topped with clean soil (limited surface runoff)","Short-term exposure can cause symptoms such as headaches, dizziness, nausea, and irritability. Long-term exposure can lead to more severe health issues, including liver damage, neurotoxicity (such as seizures and tremors), and immune system suppression. Sttudies have linked exposure to liver and lung cancer",,,,,249,,157.9288774°W 21.3345487°N ,
DDT Compounds,Organochlorine pesticide,Historic Homes District: JBPHH,Residential Termiticide Use,Urban,1,Unknown-1980s,Historic,Hālawa,2.1 mg/kg,HDOH EAL: 1.8 mg/kg; C/I 5.6 mg/kg,Soil (0-1 ft bgs),"Groundwater, East Loch/Harbor Mouth",,"DDT exposure has been linked to neurodevelopmental effects, including impaired cognitive function, learning disabilities, and behavioral disorders. In animal studies, prenatal and early-life exposure to DDT Compounds has been associated with alterations in brain structure and function. Also reproductive abornamilities",,Location: p.10,2011,"(TetraTech, 2011) Soil Sampling Report Hickam Communities LLC.pdf https://eha-cloud.doh.hawaii.gov/iheer/api/documents/129117/download",250,,157.9501722°W 21.3455491°N ,
Benzo(a)pyrene,Polycyclic aromatic hydrocarbon (PAHs),Fort Kamehameha USTs: JBPHH,Fort Kamehameha USTs,Urban,1,1930s-1999,Contained,Hālawa,1.1 mg/kg,HDOH EAL: 3.6 mg/kg; C/I: 15 mg/kg,Soil,Manuwai & Kumumauʻu Canals & Motor Pool Storm Drain,Drains into Manuwai & Kumumauʻu Canals and the Motor Pool Storm Drain to Pearl Harbor mouth.,"Exposure to BaP strongly associated with increased risk of cancer (lung, bladder, skin). Adverse affects on reproductive health: decreased fertility and fetal abnormalities. Mutagenic. Link to cardiovascular disease and stroke","Not significant, capped with concrete under airstrip. ",Location p.27,2012,"(NAVFAC, 2012) ROD: Fort Kam. UST JBPHH.pdf",251,,157.9575016°W 21.3172551°N ,
Benzo(a)pyrene,Polycyclic aromatic hydrocarbon (PAHs),Fort Kamehameha USTs: JBPHH,Fort Kamehameha USTs,Urban,1,1930s-1999,Contained,Hālawa,1.3 µg/L,HDOH EAL: 0.006 µg/L,Groundwater,Manuwai & Kumumauʻu Canals & Motor Pool Storm Drain,Drains into Manuwai & Kumumauʻu Canals and the Motor Pool Storm Drain to Pearl Harbor mouth.,"Exposure to BaP strongly associated with increased risk of cancer (lung, bladder, skin). Adverse affects on reproductive health: decreased fertility and fetal abnormalities. Mutagenic. Link to cardiovascular disease and stroke","Not significant, capped with concrete under airstrip. ",,,,252,,157.9575016°W 21.3172551°N ,
TPH (Gasolines),Petroleum hydrocarbon,Fort Kamehameha USTs: JBPHH,Fort Kamehameha USTs,Urban,1,1930s-1999,Contained,Hālawa,"16,000 µg/L",HDOH EAL: 500 µg/L,Groundwater,Manuwai & Kumumauʻu Canals & Motor Pool Storm Drain,Drains into Manuwai & Kumumauʻu Canals and the Motor Pool Storm Drain to Pearl Harbor mouth.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Not significant, capped with concrete under airstrip. ",,,,253,,157.9575016°W 21.3172551°N ,
TPH (Middle Distillates),Petroleum hydrocarbon,Fort Kamehameha USTs: JBPHH,Fort Kamehameha USTs,Urban,1,1930s-1999,Contained,Hālawa,"4,200 µg/L",HDOH EAL 640 µg/L,Groundwater,Manuwai & Kumumauʻu Canals & Motor Pool Storm Drain,Drains into Manuwai & Kumumauʻu Canals and the Motor Pool Storm Drain to Pearl Harbor mouth.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Not significant, capped with concrete under airstrip. ",,,,254,,157.9575016°W 21.3172551°N ,
TPH (Residual Fuels),Petroleum hydrocarbon,Fort Kamehameha USTs: JBPHH,Fort Kamehameha USTs,Urban,1,1930s-1999,Contained,Hālawa,"2,200 µg/L",HDOH EAL: 640 µg/L,Groundwater,Manuwai & Kumumauʻu Canals & Motor Pool Storm Drain,Drains into Manuwai & Kumumauʻu Canals and the Motor Pool Storm Drain to Pearl Harbor mouth.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Not significant, capped with concrete under airstrip. ",,,,255,,157.9575016°W 21.3172551°N ,
TPH (Gasolines),Petroleum hydrocarbon,HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,1.3 mg/kg,HDOH EAL: 100 mg/kg; C/I: 170 mg/kg,Soil (20-22 ft bgs),Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",location p.41,2018,https://eha-cloud.doh.hawaii.gov/iheer/api/documents/31505/download,256,,157.9893002°W 21.3916213°N ,
TPH (Gasolines),Petroleum hydrocarbon,HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,"21,000 µg/L",HDOH EAL: 500 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,"(HART, 2018) EHE, EHMP: Maintenance/Storage Facility (Rail Op Center).pdf",257,,157.9893002°W 21.3916213°N ,
TPH (Middle Distillates),Petroleum hydrocarbon,HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,"9,450 µg/L",HDOH EAL 640 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,258,,157.9893002°W 21.3916213°N ,
TPH (Residual Fuels),Petroleum hydrocarbon,HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,"1,070 µg/L",HDOH EAL: 640 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,259,,157.9893002°W 21.3916213°N ,
Tetrachloroethane (TCA),Chlorinated hdrocarbon,HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,0.7 µg/L,HDOH EAL: .57 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Tetrachloroethane is highly toxic. Acute exposure can cause central nervous system depression, liver and kidney damage, and respiratory issues. Symptoms of exposure include dizziness, headache, nausea, and vomiting. Chronic exposure can lead to more severe health effects, including liver damage and potentially cancer","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,260,,157.9893002°W 21.3916213°N ,
Bromodichloromethane,Halogenated hydrocarbon,HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,7.1 µg/L,HDOH EAL: 0.13 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.," Bromodichloromethane is moderately toxic. Acute exposure can cause irritation of the eyes, skin, and respiratory system. High levels of exposure may lead to effects on the central nervous system, resulting in  dizziness, headache, and nausea. Prolonged/repeated exposure can damage the liver and kidneys. Classified as a possible human carcinogen ","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,261,,157.9893002°W 21.3916213°N ,
Ethylbenzene,Volatile organic compound (VOCs),HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,988 µg/L,HDOH EAL: 7.3 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.," Acute exposure to ethylbenzene in humans results in respiratory effects, such as throat irritation and chest constriction, irritation of the eyes, and neurological effects such as dizziness.  Chronic (long-term) exposure to ethylbenzene by inhalation in humans has shown conflicting results regarding its effects on the blood.  Animal studies have reported effects on the blood, liver, and kidneys from chronic inhalation exposure to ethylbenzene. ","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,262,,157.9893002°W 21.3916213°N ,
Napthalene,Polycyclic aromatic hydrocarbon (PAHs),HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,907 µg/L,HDOH EAL: 12 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to naphthalene can cause respiratory irritation, hemolytic anemia (especially in individuals with G6PD deficiency), and gastrointestinal distress. Chronic exposure may increase the risk of nasal and lung cancer, and can cause neurological symptoms, skin irritation, and eye damage.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,263,,157.9893002°W 21.3916213°N ,
Xylenes,Volatile organic compound (VOCs),HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,501 µg/L,HDOH EAL: 13 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Short-term exposures at high concentrations can cause irritation of the skin, eyes, nose, and throat; difficulty breathing; delayed response to a visual stimulus; impaired memory; stomach discomfort; and possible changes in the liver and kidneys. Both short- and long-term exposure can cause effects on nervous system: headaches, lack of muscle coordination, dizziness, confusion","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,264,,157.9893002°W 21.3916213°N ,
1-Methylnapthalene,Polycyclic aromatic hydrocarbon (PAHs),HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,125 µg/L,HDOH EAL: 2.1 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to methylnaphthalene can lead to respiratory irritation, coughing, and shortness of breath. Prolonged exposure may cause liver and kidney damage, and it is potentially a lung carcinogen. It can also cause skin and eye irritation upon direct contact.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,265,,157.9893002°W 21.3916213°N ,
2-Methylnapthalene,Polycyclic aromatic hydrocarbon (PAHs),HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,310 µg/L,HDOH EAL: 4.7 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to methylnaphthalene can lead to respiratory irritation, coughing, and shortness of breath. Prolonged exposure may cause liver and kidney damage, and it is potentially a lung carcinogen. It can also cause skin and eye irritation upon direct contact.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,266,,157.9893002°W 21.3916213°N ,
Anthracene,Polycyclic aromatic hydrocarbon (PAHs),HART Rail Station: Pearl City,ʻEwa Junction Fuel Drumming Facility,Urban,1,1943-1970s,Contained,Waipiʻo/Waiawa,0.0824 µg/L,HDOH EAL: 0.02 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to anthracene can cause skin and eye irritation. Inhalation may lead to respiratory irritation, and ingestion can cause gastrointestinal distress. While not classified as a carcinogen, anthracene can be present with other carcinogenic PAHs.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,267,,157.9893002°W 21.3916213°N ,
TPH (Residual Fuels),Hydrocarbon (petroleum),Servco Pacific Inc.,Underground hydraulic lift & associated small oil tanks and piping,Urban,0,Unknown-2005,Contained,Waipiʻo ,"13,000 mg/kg","HDOH EAL: 500; C/I: 1,000 mg/kg",Soil (9 ft bgs),Kapakahi Stream,"The contamination is confined primarily to the deep soil, with limited potential to affect the groundwater.","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Low exposure risk, only in deep soil. Soil capped with concrete. Potential for leaching to groundwater",94-729 Farrington Hwy,2005,"(DOH, 2005) Hydraulic Lift closure and release response report. Waipahu Auto.pdf",268,,158.0058732°W 21.3832543°N ,
Aldrin,Organochlorine pesticide,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Agriculture,0,1970-1995,Historic,Honouliuli,0.1078,Project AL: 0.029 mg/kg,Soil,Honouliuli Stream,Potential for leaching to GW,"Aldrin is highly toxic. Short-term exposure can lead to acute neurological symptoms such as headaches, dizziness, and nausea, while severe cases may cause convulsions and respiratory failure. Long-term exposure is linked to chronic neurological damage, liver toxicity, and an increased risk of liver cancer",,,,,269,,158.0058732°W 21.3832543°N ,
Dieldrin,Organochlorine pesticide,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Agriculture,0,1970-1995,Historic,Honouliuli,0.3369 mg/kg,Project AL: 0.0052 mg/kg,Soil,Honouliuli Stream,Potential for leaching to GW,"Short-term exposure can cause symptoms such as headaches, dizziness, nausea, and irritability. Long-term exposure can lead to more severe health issues, including liver damage, neurotoxicity (such as seizures and tremors), and immune system suppression. Sttudies have linked exposure to liver and lung cancer",Dieldrin primary concern with surface soil exposure,Location: https://eha-cloud.doh.hawaii.gov/iHEER/#!/site/2456/location,2008,"(Enviroservices, 2008) Former Disposal Pit Soil Sampling Report. Hawaii Ag Research Center, Kunia Substation.pdf",270,,158.0354495°W 21.3880816°N ,
Endrin,Organochlorine pesticide,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Agriculture,0,1970-1995,Historic,Honouliuli,7.38 mg/kg,HDOH EAL: 3.8 mg/kg; C/I:,Soil,Honouliuli Stream,Potential for leaching to GW,"Endrin is highly toxic to humans and animals. Acute exposure can cause severe central nervous system effects, including dizziness, headaches, nausea, vomiting, convulsions, and in severe cases, respiratory arrest and death. Chronic exposure can lead to long-term neurological damage, liver and kidney damage, and reproductive toxicity. Possible human carcinogen.",,HARC Kunia Substation (ID 270).png,,,271,,158.0354495°W 21.3880816°N ,
Heptachlor Epoxide ,Organochlorine pesticide,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Agriculture,0,1970-1995,Historic,Honouliuli,0.1078 mg/kg,Project AL: 0.053 mg/kg,Soil,Honouliuli Stream,Potential for leaching to GW,"Exposure to heptachlor epoxide can cause neurological symptoms such as dizziness, irritability, and convulsions. Long-term exposure has been linked to liver damage, immune system suppression, and an increased risk of liver and adrenal tumors.",,,,,272,,158.0354495°W 21.3880816°N ,
Toxaphene,Organochlorine pesticide,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Agriculture,0,1970-1995,Historic,Honouliuli,1.3463 mg/kg,Project AL: 0.44 mg/kg,Soil,Honouliuli Stream,Potential for leaching to GW,"Toxaphene is highly toxic. Acute exposure cause respiratory distress, nervous system effects such as tremors and convulsions, and GI symptoms including nausea and vomiting. Chronic exposure can lead to liver and kidney damage, immune system suppression, and potential developmental and reproductive effects. Possible human carcinogen",,,,,273,,158.0354495°W 21.3880816°N ,
TPH (Residual Fuels),Hydrocarbon (petroleum),Waipahu Unocal Service,Excavated Hydraulic oil hoist tanks,Urban,0,1963-2000,Contained,Honouliuli,"1,630 mg/kg","HDOH EAL: 500; C/I: 1,000 mg/kg",Soil,Waikele Stream. West Loch,0.5 mi from nearest surface water body,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Backfilled and covered with concrete, low likelihood of direct exposure, contamination predominantly focused on spread of contamination",Location: https://eha-cloud.doh.hawaii.gov/iHEER/#!/site/2598/location (94-303 Waipahu st) Former COreyʻs Unocal Location (ID 274).png,2000,"Site screening sheet: (HDOH, 2000) TOSCO-Unocal Site screening sheet.pdf , Hoist removal report (MFA, 1999) Subsurface Investigation Report, Aloha Used Auto Parts.pdf",274,,158.0206437°W 21.3829946°N ,
Dioxins/Furans,Dioxins/Furans,OSCO: Waipiʻo Peninsula Former Pesticide Mixing Site,Waipiʻo Peninsula Former Pesticide Mixing Site,Agriculture,0,Unknown-1980s,Historic,Waipiʻo,989 pg/g,"HDOH EAL: 240 pg/g; C/I: 1,500 pg/g",Soil,Walker Bay/West Loch,Surface runoff into Walker bay. Potential leach to GW,"Exposure to TEQ dioxins can lead to cancer, reproductive and developmental issues, and immune system damage. Short-term exposure can cause skin lesions and altered liver function, while long-term exposure is linked to endocrine disruption and increased risk of certain cancers. Dioxins are highly persistent in the environment and can accumulate in the food chain, posing long-term health risks",Site trespassers have potential exposure to unpaved surface soil through ingestion and dermal contact. Soils from the Site may be transported off Site due to normal human activities,"Location: p.5 t 21° 21'
44.7"" north latitude and 157 ° 59' 23.7"" west longitude",2001,"(DOH, 2001) Subsurface soil sampling Waipio Peninsula.pdf https://www.environment-hawaii.org/?p=13528 ,(Dawson, 2021) Feds Close In On $7.5M In Compensation For Contamination at Waipiʻo Peninsula.pdf(USEPA, 2005) Removal Action at Oahu Sugar Site Waipio Peninsula.pdf",275,,157.9892942°W 21.3629227°N ,
DDT Compounds,Organochlorine pesticide,OSCO: Waipiʻo Peninsula Former Pesticide Mixing Site,Waipiʻo Peninsula Former Pesticide Mixing Site,Agriculture,0,Unknown-1980s,Historic,Waipiʻo,2.9 mg/kg,HDOH EAL: 2.2 mg/kg,Soil,Walker Bay/West Loch,Surface runoff into Walker bay. Potential leach to GW,DDT Compounds,Site trespassers have potential exposure to unpaved surface soil through ingestion and dermal contact. Soils from the Site may be transported off Site due to normal human activities,,,,276,,157.9892942°W 21.3629227°N ,
DDT Compounds,Organochlorine pesticide,OSCO: Waipiʻo Peninsula Former Pesticide Mixing Site,Waipiʻo Peninsula Former Pesticide Mixing Site,Agriculture,0,Unknown-1980s,Historic,Waipiʻo,1.5 mg/kg,HDOH EAL: 1.8 mg/kg; C/I 5.6 mg/kg,Soil,Walker Bay/West Loch,Surface runoff into Walker bay. Potential leach to GW,"DDT exposure has been linked to neurodevelopmental effects, including impaired cognitive function, learning disabilities, and behavioral disorders. In animal studies, prenatal and early-life exposure to DDT has been associated with alterations in brain structure and function. Also reproductive abornamilities",Site trespassers have potential exposure to unpaved surface soil through ingestion and dermal contact. Soils from the Site may be transported off Site due to normal human activities,,,,277,,157.9892942°W 21.3629227°N ,
