OBJECTID,Number,Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,Field22,x,y
210,249,Dieldrin,Organochlorine Pesticide,Earhart Village Housing area,Earhart Village Housing area,Agriculture/Urban,Undet-1930s (ag). 1940s-1960s USAF airfield,"Historic, Contained",Moanalua,15 mg/kg,HDOH EAL: 2.5 mg/kg; C/I: 24 mg/kg,Soil (6-12 in bgs),Mamala Bay (outside of zone of interest),"Flood inundation zone, flows to mamala bay. Contained with geotextile, and topped with clean soil (limited surface runoff)","Short-term exposure can cause symptoms such as headaches, dizziness, nausea, and irritability. Long-term exposure can lead to more severe health issues, including liver damage, neurotoxicity (such as seizures and tremors), and immune system suppression. Sttudies have linked exposure to liver and lung cancer",,,,,249,,157.9288774°W 21.3345487°N ,,-17580537.335,2431854.726
211,250,DDT,Organochlorine Pesticide,Historic Homes District: JBPHH,Historic Homes District: JBPHH,Urban,,Historic,Hālawa,2.1 mg/kg,HDOH EAL: 1.8 mg/kg; C/I 5.6 mg/kg,Soil (0-1 ft bgs),"Groundwater, East Loch/Harbor Mouth",,"DDT exposure has been linked to neurodevelopmental effects, including impaired cognitive function, learning disabilities, and behavioral disorders. In animal studies, prenatal and early-life exposure to DDT has been associated with alterations in brain structure and function. Also reproductive abornamilities",,Location: p.10,2011,"(TetraTech, 2011) Soil Sampling Report Hickam Communities LLC.pdf",250,,157.9501722°W 21.3455491°N ,,-17582934.207,2433136.996
212,251,Benzo(a)pyrene,Polycyclic Aromatic Hydrocarbon (PAHs),Fort Kamehameha USTs,Fort Kamehameha USTs,Urban,,"Historic, Contained",Hālawa,1.1 mg/kg,HDOH EAL: 3.6 mg/kg; C/I: 15 mg/kg,Soil,Manuwai & Kumumauu Canals & Motor Pool Storm Drain,Drains into Manuwai & Kumumauu Canals and the Motor Pool Storm Drain to Pearl Harbor mouth.,"Exposure to BaP strongly associated with increased risk of cancer (lung, bladder, skin). Adverse affects on reproductive health: decreased fertility and fetal abnormalities. Mutagenic. Link to cardiovascular disease and stroke","Not significant, under airstrip, capped with concrete",Location p.27,2012,"(NAVFAC, 2012) ROD: Fort Kam. UST JBPHH.pdf",251,,157.9575016°W 21.3172551°N ,,-17583783.379,2429731.562
213,252,Benzo(a)pyrene,Polycyclic Aromatic Hydrocarbon (PAHs),Fort Kamehameha USTs,Fort Kamehameha USTs,Urban,,"Historic, Contained",Hālawa,1.3 µg/L,HDOH EAL: 0.006 µg/L,Groundwater,Manuwai & Kumumauu Canals & Motor Pool Storm Drain,Drains into Manuwai & Kumumauu Canals and the Motor Pool Storm Drain to Pearl Harbor mouth.,"Exposure to BaP strongly associated with increased risk of cancer (lung, bladder, skin). Adverse affects on reproductive health: decreased fertility and fetal abnormalities. Mutagenic. Link to cardiovascular disease and stroke",,,,,252,,157.9575016°W 21.3172551°N ,,-17583856.618,2429778.205
214,253,TPH-Gasoline,hydrocarbon (petroleum),Fort Kamehameha USTs,Fort Kamehameha USTs,Urban,,"Historic, Contained",Hālawa,"16,000 µg/L",HDOH EAL: 500 µg/L,Groundwater,Manuwai & Kumumauu Canals & Motor Pool Storm Drain,Drains into Manuwai & Kumumauu Canals and the Motor Pool Storm Drain to Pearl Harbor mouth.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",,,,,253,,157.9575016°W 21.3172551°N ,,-17583816.475,2429756.59
215,254,TPH-DRO,hydrocarbon (petroleum),Fort Kamehameha USTs,Fort Kamehameha USTs,Urban,,"Historic, Contained",Hālawa,"4,200 µg/L",HDOH EAL 640 µg/L,Groundwater,Manuwai & Kumumauu Canals & Motor Pool Storm Drain,Drains into Manuwai & Kumumauu Canals and the Motor Pool Storm Drain to Pearl Harbor mouth.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",,,,,254,,157.9575016°W 21.3172551°N ,,-17583782.508,2429778.205
216,255,TPH-RRO,hydrocarbon (petroleum),Fort Kamehameha USTs,Fort Kamehameha USTs,Urban,,"Historic, Contained",Hālawa,"2,200 µg/L",HDOH EAL: 640 µg/L,Groundwater,Manuwai & Kumumauu Canals & Motor Pool Storm Drain,Drains into Manuwai & Kumumauu Canals and the Motor Pool Storm Drain to Pearl Harbor mouth.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",,,,,255,,157.9575016°W 21.3172551°N ,,-17583740.822,2429759.678
217,256,TPH-Gasoline,Hydrocarbon (petroleum),HART Rail Station: Pearl City,HART Rail Station: Pearl City,Urban,1943-1970s,"Historic, Contained",Waipiʻo/Waiawa,1.3 mg/kg,HDOH EAL: 100 mg/kg; C/I: 170 mg/kg,Soil (20-22 ft bgs),Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",location p.41,2018,https://eha-cloud.doh.hawaii.gov/iheer/api/documents/31505/download,256,,157.9893002°W 21.3916213°N ,,-17587292.889,2438709.88
218,257,TPH-G,Hydrocarbon (petroleum),HART Rail Station: Pearl City,HART Rail Station: Pearl City,Urban,1943-1970s,"Historic, Contained",Waipiʻo/Waiawa,"21,000 µg/L",HDOH EAL: 500 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,"(HART, 2018) EHE, EHMP: Maintenance/Storage Facility (Rail Op Center).pdf",257,,157.9893002°W 21.3916213°N ,,-17587325.497,2438693.082
219,258,TPH-D,Hydrocarbon (petroleum),HART Rail Station: Pearl City,HART Rail Station: Pearl City,Urban,1943-1970s,"Historic, Contained",Waipiʻo/Waiawa,"9,450 µg/L",HDOH EAL 640 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,258,,157.9893002°W 21.3916213°N ,,-17587322.533,2438726.678
220,259,TPH-Oil,Hydrocarbon (petroleum),HART Rail Station: Pearl City,HART Rail Station: Pearl City,Urban,1943-1970s,"Historic, Contained",Waipiʻo/Waiawa,"1,070 µg/L",HDOH EAL: 640 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,259,,157.9893002°W 21.3916213°N ,,-17587287.949,2438688.141
221,260,Tetrachloroethane,Hydrocarbon,HART Rail Station: Pearl City,HART Rail Station: Pearl City,Urban,1943-1970s,"Historic, Contained",Waipiʻo/Waiawa,0.7 µg/L,HDOH EAL: .57 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Tetrachloroethane is highly toxic. Acute exposure can cause central nervous system depression, liver and kidney damage, and respiratory issues. Symptoms of exposure include dizziness, headache, nausea, and vomiting. Chronic exposure can lead to more severe health effects, including liver damage and potentially cancer","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,260,,157.9893002°W 21.3916213°N ,,-17587310.675,2438708.892
222,261,Bromodicholomethane,Hydrocarbon,HART Rail Station: Pearl City,HART Rail Station: Pearl City,Urban,1943-1970s,"Historic, Contained",Waipiʻo/Waiawa,7.1 µg/L,HDOH EAL: 0.13 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.," Bromodichloromethane is moderately toxic. Acute exposure can cause irritation of the eyes, skin, and respiratory system. High levels of exposure may lead to effects on the central nervous system, resulting in  dizziness, headache, and nausea. Prolonged/repeated exposure can damage the liver and kidneys. Classified as a possible human carcinogen ","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,261,,157.9893002°W 21.3916213°N ,,-17587306.723,2438665.414
223,262,Ethylbenzene,Volatile Organic Compounds (VOCs),HART Rail Station: Pearl City,HART Rail Station: Pearl City,Urban,1943-1970s,"Historic, Contained",Waipiʻo/Waiawa,988 µg/L,HDOH EAL: 7.3 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.," Acute exposure to ethylbenzene in humans results in respiratory effects, such as throat irritation and chest constriction, irritation of the eyes, and neurological effects such as dizziness.  Chronic (long-term) exposure to ethylbenzene by inhalation in humans has shown conflicting results regarding its effects on the blood.  Animal studies have reported effects on the blood, liver, and kidneys from chronic inhalation exposure to ethylbenzene. ","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,262,,157.9893002°W 21.3916213°N ,,-17587308.699,2438688.141
224,263,Napthalene,Polycyclic Aromatic Hydrocarbon (PAHs),HART Rail Station: Pearl City,HART Rail Station: Pearl City,Urban,1943-1970s,"Historic, Contained",Waipiʻo/Waiawa,907 µg/L,HDOH EAL: 12 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to naphthalene can cause respiratory irritation, hemolytic anemia (especially in individuals with G6PD deficiency), and gastrointestinal distress. Chronic exposure may increase the risk of nasal and lung cancer, and can cause neurological symptoms, skin irritation, and eye damage.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,263,,157.9893002°W 21.3916213°N ,,-17587281.032,2438699.01
225,264,Total xylenes,Volatile Organic Compounds (VOCs),HART Rail Station: Pearl City,HART Rail Station: Pearl City,Urban,1943-1970s,"Historic, Contained",Waipiʻo/Waiawa,501 µg/L,HDOH EAL: 13 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Short-term exposures at high concentrations can cause irritation of the skin, eyes, nose, and throat; difficulty breathing; delayed response to a visual stimulus; impaired memory; stomach discomfort; and possible changes in the liver and kidneys. Both short- and long-term exposure can cause effects on nervous system: headaches, lack of muscle coordination, dizziness, confusion","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,264,,157.9893002°W 21.3916213°N ,,-17587273.127,2438665.414
226,265,1-Methylnapthalene,Polycyclic Aromatic Hydrocarbon (PAHs),HART Rail Station: Pearl City,HART Rail Station: Pearl City,Urban,1943-1970s,"Historic, Contained",Waipiʻo/Waiawa,125 µg/L,HDOH EAL: 2.1 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to methylnaphthalene can lead to respiratory irritation, coughing, and shortness of breath. Prolonged exposure may cause liver and kidney damage, and it is potentially a lung carcinogen. It can also cause skin and eye irritation upon direct contact.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,265,,157.9893002°W 21.3916213°N ,,-17587300.794,2438672.331
227,266,2-Methylnapthalene,Polycyclic Aromatic Hydrocarbon (PAHs),HART Rail Station: Pearl City,HART Rail Station: Pearl City,Urban,1943-1970s,"Historic, Contained",Waipiʻo/Waiawa,310 µg/L,HDOH EAL: 4.7 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to methylnaphthalene can lead to respiratory irritation, coughing, and shortness of breath. Prolonged exposure may cause liver and kidney damage, and it is potentially a lung carcinogen. It can also cause skin and eye irritation upon direct contact.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,266,,157.9893002°W 21.3916213°N ,,-17587265.222,2438675.295
228,267,Anthracene,Polycyclic Aromatic Hydrocarbon (PAHs),HART Rail Station: Pearl City,HART Rail Station: Pearl City,Urban,1943-1970s,"Historic, Contained",Waipiʻo/Waiawa,0.0824 µg/L,HDOH EAL: 0.02 µg/L,Groundwater,Groundwater,Leaching of contaminants from subsurface soil to groundwater is not considered a significant hazard because the area with soil contamination will be paved.,"Exposure to anthracene can cause skin and eye irritation. Inhalation may lead to respiratory irritation, and ingestion can cause gastrointestinal distress. While not classified as a carcinogen, anthracene can be present with other carcinogenic PAHs.","Potential human receptors at the site include workers for the transit operation, excavation/construction workers, landscapers, authorized visitors, and trespassers",,,,267,,157.9893002°W 21.3916213°N ,,-17587293.877,2438650.592
229,268,TPH-RRO,Hydrocarbon (petroleum),Servco Pacific Inc.,Servco Pacific Inc.,Urban,Undet.,"Historic, Contained",Waipiʻo ,"13,000 mg/kg","HDOH EAL: 500; C/I: 1,000 mg/kg",Soil (9 ft bgs),Kapahiki Stream,"The contamination is confined primarily to the deep soil, with limited potential to affect the groundwater.","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Low exposure risk, only in deep soil. Soil capped with concrete. Potential for leaching to groundwater",94-729 Farrington Hwy,2005,"(DOH, 2005) Hydraulic Lift closure and release response report. Waipahu Auto.pdf",268,,158.0058732°W 21.3832543°N ,,-17589137.524,2437641.201
230,269,Aldrin,Organochlorine Pesticide,Hawaii Agriculture Research Center (HARC) Kunia Substation,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Agriculture,1970-1995,Historic,Honouliuli,0.1078,Project AL: 0.029 mg/kg,Soil,Honouliuli Stream,Potential for leaching to GW,"Aldrin is highly toxic. Short-term exposure can lead to acute neurological symptoms such as headaches, dizziness, and nausea, while severe cases may cause convulsions and respiratory failure. Long-term exposure is linked to chronic neurological damage, liver toxicity, and an increased risk of liver cancer",,,,,269,,158.0058732°W 21.3832543°N ,,-17592422.847,2438226.805
231,270,Dieldrin,Organochlorine Pesticide,Hawaii Agriculture Research Center (HARC) Kunia Substation,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Agriculture,1970-1995,Historic,Honouliuli,0.3369 mg/kg,Project AL: 0.0052 mg/kg,Soil,Honouliuli Stream,Potential for leaching to GW,"Short-term exposure can cause symptoms such as headaches, dizziness, nausea, and irritability. Long-term exposure can lead to more severe health issues, including liver damage, neurotoxicity (such as seizures and tremors), and immune system suppression. Sttudies have linked exposure to liver and lung cancer",Dieldrin primary concern with surface soil exposure,Location: https://eha-cloud.doh.hawaii.gov/iHEER/#!/site/2456/location,2008,"(Enviroservices, 2008) Former Disposal Pit Soil Sampling Report. Hawaii Ag Research Center, Kunia Substation.pdf",270,,158.0354495°W 21.3880816°N ,,-17592425.376,2438212.259
232,271,Endrin,Organochlorine Pesticide,Hawaii Agriculture Research Center (HARC) Kunia Substation,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Agriculture,1970-1995,Historic,Honouliuli,7.38 mg/kg,HDOH EAL: 3.8 mg/kg; C/I:,Soil,Honouliuli Stream,Potential for leaching to GW,"Endrin is highly toxic to humans and animals. Acute exposure can cause severe central nervous system effects, including dizziness, headaches, nausea, vomiting, convulsions, and in severe cases, respiratory arrest and death. Chronic exposure can lead to long-term neurological damage, liver and kidney damage, and reproductive toxicity. Possible human carcinogen.",,HARC Kunia Substation (ID 270).png,,,271,,158.0354495°W 21.3880816°N ,,-17592414.349,2438213.84
233,272,Heptachlor Epoxide ,Organochlorine Pesticide,Hawaii Agriculture Research Center (HARC) Kunia Substation,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Agriculture,1970-1995,Historic,Honouliuli,0.1078 mg/kg,Project AL: 0.053 mg/kg,Soil,Honouliuli Stream,Potential for leaching to GW,"Exposure to heptachlor epoxide can cause neurological symptoms such as dizziness, irritability, and convulsions. Long-term exposure has been linked to liver damage, immune system suppression, and an increased risk of liver and adrenal tumors.",,,,,272,,158.0354495°W 21.3880816°N ,,-17592430.159,2438197.042
234,273,Toxaphene,Organochlorine Pesticide,Hawaii Agriculture Research Center (HARC) Kunia Substation,Hawaiʻi Agriculture Research Center (HARC) Kunia Substation,Agriculture,1970-1995,Historic,Honouliuli,1.3463 mg/kg,Project AL: 0.44 mg/kg,Soil,Honouliuli Stream,Potential for leaching to GW,"Toxaphene is highly toxic. Acute exposure cause respiratory distress, nervous system effects such as tremors and convulsions, and GI symptoms including nausea and vomiting. Chronic exposure can lead to liver and kidney damage, immune system suppression, and potential developmental and reproductive effects. Possible human carcinogen",,,,,273,,158.0354495°W 21.3880816°N ,,-17592440.04,2438214.828
235,274,TPH-RRO,Hydrocarbon (petroleum),Waipahu Unocal Service,Waipahu Unocal Service,Industrial,1963-2000,"Historic, Contained",Honouliuli,"1,630 mg/kg","HDOH EAL: 500; C/I: 1,000 mg/kg",Soil,Waikele Stream. West Loch,0.5 mi from nearest surface water body,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Backfilled and covered with concrete, low likelihood of direct exposure, contamination predominantly focused on spread of contamination",Location: https://eha-cloud.doh.hawaii.gov/iHEER/#!/site/2598/location (94-303 Waipahu st) Former COreyʻs Unocal Location (ID 274).png,2000,"Site screening sheet: (HDOH, 2000) TOSCO-Unocal Site screening sheet.pdf , Hoist removal report (MFA, 1999) Subsurface Investigation Report, Aloha Used Auto Parts.pdf",274,,158.0206437°W 21.3829946°N ,,-17590785.854,2437619.915
236,275,TEQ DIoxins ,Dioxins/Furans,OSCO: Waipio Peninsula Former Pesticide Mixing Site,OSCO: Waipio Peninsula Former Pesticide Mixing Site,Industrial,undet-1980s,Historic,Waipiʻo,989 pg/g,"HDOH EAL: 240 pg/g; C/I: 1,500 pg/g",Soil,Walker Bay/West Loch,Surface runoff into walker bay. Potential leach to GW,"Exposure to TEQ dioxins can lead to cancer, reproductive and developmental issues, and immune system damage. Short-term exposure can cause skin lesions and altered liver function, while long-term exposure is linked to endocrine disruption and increased risk of certain cancers. Dioxins are highly persistent in the environment and can accumulate in the food chain, posing long-term health risks",Site trespassers have potential exposure to unpaved surface soil through ingestion and dermal contact. Soils from the Site may be transported off Site due to normal human activities,Location: p.5 t 21° 21' 44.7"" north latitude and 157 ° 59' 23.7"" west longitude,2001,"(DOH, 2001) Subsurface soil sampling Waipio Peninsula.pdf https://www.environment-hawaii.org/?p=13528 ,(Dawson, 2021) Feds Close In On $7.5M In Compensation For Contamination at Waipiʻo Peninsula.pdf(USEPA, 2005) Removal Action at Oahu Sugar Site Waipio Peninsula.pdf",275,,157.9892942°W 21.3629227°N ,,-17587292.384,2435217.822
237,276,DDD,Organochlorine Pesticide,OSCO: Waipio Peninsula Former Pesticide Mixing Site,OSCO: Waipio Peninsula Former Pesticide Mixing Site,Industrial,undet-1980s,Historic,Waipiʻo,2.9 mg/kg,HDOH EAL: 2.2 mg/kg,Soil,Walker Bay/West Loch,Surface runoff into walker bay. Potential leach to GW,"DDD is a breakdown product of DDT. Short-term exposure generally does not result in acute symptoms, but long-term exposure has been linked to liver and kidney damage, endocrine disruption, and reproductive issues. Classified as a probable human carcinogen, with evidence suggesting an increased risk of liver cancer.",Site trespassers have potential exposure to unpaved surface soil through ingestion and dermal contact. Soils from the Site may be transported off Site due to normal human activities,,,,276,,157.9892942°W 21.3629227°N ,,-17587324.509,2435209.936
238,277,DDT,Organochlorine Pesticide,OSCO: Waipio Peninsula Former Pesticide Mixing Site,OSCO: Waipio Peninsula Former Pesticide Mixing Site,Industrial,undet-1980s,Historic,Waipiʻo,1.5 mg/kg,HDOH EAL: 1.8 mg/kg; C/I 5.6 mg/kg,Soil,Walker Bay/West Loch,Surface runoff into walker bay. Potential leach to GW,"DDT exposure has been linked to neurodevelopmental effects, including impaired cognitive function, learning disabilities, and behavioral disorders. In animal studies, prenatal and early-life exposure to DDT has been associated with alterations in brain structure and function. Also reproductive abornamilities",Site trespassers have potential exposure to unpaved surface soil through ingestion and dermal contact. Soils from the Site may be transported off Site due to normal human activities,,,,277,,157.9892942°W 21.3629227°N ,,-17587317.592,2435234.639
239,278,Pentachlorophenol (PCP),Organochlorine Pesticide,OSCO: Waipio Peninsula Former Pesticide Mixing Site,OSCO: Waipio Peninsula Former Pesticide Mixing Site,Industrial,undet-1980s,Historic,Waipiʻo,81 mg/kg,HDOH EAL: 0.78 mg/kg,Soil,Walker Bay/West Loch,Surface runoff into walker bay. Potential leach to GW,"Exposure can cause headache, sweating, weakness, trouble breathing, high fever, and pain in the chest and abdomen. Potential human carcinogen.",Site trespassers have potential exposure to unpaved surface soil through ingestion and dermal contact. Soils from the Site may be transported off Site due to normal human activities,,,,278,,157.9892942°W 21.3629227°N ,,-17587280.044,2435231.675
240,195,Heptachlor epoxide ,Organochlorine Pesticide,McGrew Point Naval Housing Area,McGrew Point Naval Housing Area,Residential/Commercial,1943-2004,"Historic, Contained",Kalauao,7.2 mg/kg,HDOH EAL: 0.2  mg/kg,Surface soil,"East Loch, 'Aiea Bay, Loko Pa'aiau","Bordered by East Loch, 'Aiea bay","Exposure to heptachlor epoxide can cause neurological symptoms such as dizziness, irritability, and convulsions. Long-term exposure has been linked to liver damage, immune system suppression, and an increased risk of liver and adrenal tumors.",,,,,195,,157.9401829°W 21.3767967°N ,,-17581838.544,2436870.238
241,279,Arsenic,Heavy Metal,Halewiliko Highlands Development,Halewiliko Highlands Development,Agriculture/Urban,1899-1994,Historic,ʻAiea,29 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Surface Soil,ʻAiea Stream,"Site immediately borders stream, potentially feeding into East loch","Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.",Potential human health hazards may exist for future construction/trench worker receptors from direct contact with impacted subsurface soil during future construction events. ,,2021,"(ETC, 2021) SI Halewiliko Development.pdf",279,,157.9262160°W 21.3810762°N ,,-17580266.476,2437380.636
242,283,Arsenic,Heavy Metal,Waipio Soccer Complex,Waipio Soccer Complex,Urban,1971-1991,"Historic, Contained",Waipiʻo,26.1 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Surface Soil (2-10 in bgs),West Loch,To West Loch,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.",Potential risk of exposure assumed upon excavation of soil in the region,"Location: Waipio Point Access Rd, Waipahu, HI 96797 (could just search the park?)",2007,"(DeGelleke, 2007) ABUNDANCE AND DISTRIBUTION OF ARSENIC IN HAWAIIAN SOILS AND SEDIMENTS.pdf",283,Mapped on Waipio Point Access Rd,157.9856568°W 21.3641266°N ,,-17586884.068,2435351.396
243,285,Trichloroethylene (TCE),Volatile Organic Compound (VOCs),Waipahu Sugar Mill,Waipahu Sugar Mill,Industrial,1897-1995,"Historic, Contained",Waikele,0.015 mg/L,HDOH EAL (2005): 0.005 mg/L,Groundwater,Groundwater,Report states groundwater is not likely to migrate offsite,"Short-term exposure to TCE can cause dizziness, headaches, and irritation of the eyes, skin, and respiratory system. Long-term exposure increases the risk of liver and kidney damage, immune and nervous system effects, and various cancers, including kidney and liver cancer. TCE is also associated with reproductive and developmental harm.",Drinking water well closed for future use,"On site, located near the bend on Waipahu St (potentially near this hand selected coordinate: 21.385677, -158.008650)",2006,"(HDOH, 2006) Waipahu Sugar Mill Final Response Action Memorandum.pdf",285,,158.0084968°W 21.3857284°N ,,-17589430.266,2437938.68
244,286,Ethylbenzene,Volatile Organic Compound (VOCs),Waipahu Sugar Mill,Waipahu Sugar Mill,Industrial,1897-1995,"Historic, Contained",Waikele,3.85 mg/kg,HDOH EAL (2005): 3.3 mg/kg,Soil (~46 ft bgs),Groundwater,"Concentration is detected near the soil-groundwater interface, likely groundwater contamination"," Acute exposure to ethylbenzene in humans results in respiratory effects, such as throat irritation and chest constriction, irritation of the eyes, and neurological effects such as dizziness.  Chronic (long-term) exposure to ethylbenzene by inhalation in humans has shown conflicting results regarding its effects on the blood.  Animal studies have reported effects on the blood, liver, and kidneys from chronic inhalation exposure to ethylbenzene. ","Airborne exposure is unlikely due to the depth of contamination. As the drinking water well is closed, contamination shouldn't pose an immediate health risk via ingestion or inhalation","On site, located on the upper corner of property boundary (potentially near this hand selected coordinate: 21.387212, -158.008575)",2006,"(HDOH, 2006) Waipahu Sugar Mill Final Response Action Memorandum.pdf",286,,158.0084968°W 21.3857284°N ,,-17589491.598,2437900.738
245,287,Benzene,Volatile Organic Compound (VOCs),Waipahu Sugar Mill,Waipahu Sugar Mill,Industrial,1897-1995,"Historic, Contained",Waikele,0.02 mg/L,HDOH EAL (2005): 0.005 mg/L,Groundwater,Groundwater,Report states groundwater is not likely to migrate offsite,"Short-term exposure to high levels of benzene can cause dizziness, headaches, drowsiness, and confusion. Long-term exposure primarily affects the bone marrow and leads to blood disorders, including aplastic anemia and an increased risk of leukemia.",Drinking water well closed for future use,"On site, located on the upper corner of property boundary (potentially near this hand selected coordinate: 21.387212, -158.008575)",2006,"(HDOH, 2006) Waipahu Sugar Mill Final Response Action Memorandum.pdf",287,,158.0084968°W 21.3857284°N ,,-17589525.579,2437930.697
246,288,TPH-Diesel,Hydrocarbon (petroleum),Waipahu Sugar Mill,Waipahu Sugar Mill,Industrial,1897-1995,"Historic, Contained",Waikele,2.9 mg/L,HDOH EAL (2005): 0.1 mg/L,Groundwater,Groundwater,Report states groundwater is not likely to migrate offsite,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Drinking water well closed for future use,"On site, located on the upper corner of property boundary (potentially near this hand selected coordinate: 21.387212, -158.008575)",2006,"(HDOH, 2006) Waipahu Sugar Mill Final Response Action Memorandum.pdf",288,,158.0084968°W 21.3857284°N ,,-17589466.582,2437922.976
